,Name,Size,Price,Location
522,3 Bedroom House,735 m²,R 4 200 000,Pinnacle Point Golf Estate
523,6 Bedroom House,826 m²,R 3 700 000,Dana Bay
524,Vacant Land,447 m²,R 825 000,Mossel Bay Ext 26
525,3 Bedroom House,160 m²,R 2 395 000,Dana Bay
526,2 Bedroom Apartment,747 m²,R 2 400 000,Diaz Beach
527,Vacant Land,313 m²,R 430 000,Mossel Bay Rural
528,4 Bedroom House,450 m²,R 1 290 000,Mossel Bay Ext 13
529,3 Bedroom House,641 m²,R 3 780 000,Dana Bay
530,3 Bedroom House,757 m²,R 2 990 000,Vakansieplaas
531,3 Bedroom Townhouse,747 m²,R 2 420 000,Seemeeu Park
532,Vacant Land,404 m²,R 230 000,Friemersheim
533,3 Bedroom House,334 m²,R 3 850 000,Island View
534,Vacant Land,500 m²,R 480 000,Fairview
535,Vacant Land,347 m²,R 430 000,Mossel Bay Rural
536,2 Bedroom House,781 m²,R 320 000,Friemersheim
537,Vacant Land,294 m²,R 1 030 000,Blue Ridge
538,3 Bedroom Townhouse,959 m²,R 2 590 000,Island View
539,Vacant Land,337 m²,R 1 795 000,Seemeeu Park
540,Vacant Land,510 m²,R 1 050 000,Vakansieplaas
541,Vacant Land,429 m²,R 430 000,Mossel Bay Ext 26
542,4 Bedroom Apartment,7.45 ha,R 6 300 000,Pinnacle Point Golf Estate
543,3 Bedroom Townhouse,156 m²,R 2 350 000,Heiderand
544,Farm,688 m²,R 6 700 000,Mossel Bay Rural
545,3 Bedroom Townhouse,435 m²,R 3 790 000,Mossel Bay Central
546,3 Bedroom House,357 m²,R 3 850 000,Seemeeu Park
547,3 Bedroom House,352 m²,R 3 280 000,Seemeeu Park
548,3 Bedroom House,590 m²,R 6 999 000,Pinnacle Point Golf Estate
549,3 Bedroom House,973 m²,R 3 950 000,Dana Bay
550,Vacant Land,770 m²,R 1 580 000,Boggomsbaai
551,Vacant Land,900 m²,R 1 430 000,Island View
552,Vacant Land,449 m²,R 1 780 000,Dana Bay
553,2 Bedroom Apartment,598 m²,R 1 650 000,Island View
554,Vacant Land,704 m²,R 1 850 000,Dana Bay
555,Vacant Land,429 m²,R 775 000,Vakansieplaas
556,Vacant Land,3 901 m²,R 5 950 000,Nautilus Bay
557,3 Bedroom Apartment,835 m²,R 2 590 000,Island View
558,Vacant Land,603 m²,R 5 000 000,Pinnacle Point Golf Estate
559,2 Bedroom Apartment,921 m²,R 2 050 000,Boland Park
560,2 Bedroom Townhouse,869 m²,R 1 800 000,Diaz Beach
